file,seq_len_bp,n_orfs,orfs_per_kb,mean_cai_percent,n_nonstandard_start_orfs,pct_nonstandard_start_orfs,seq_shannon_entropy,seq_repeat_count,seq_repeat_fraction
0281_Ge_with_upturn.fasta,2193,3,1.368,54.27,3,100.0,1.9359,1519,0.6942
0282_FC_Z_rich.fasta,3515,2,0.569,55.86,2,100.0,1.9732,2700,0.7692
0283_Mahmoud_El_Nokrashy_Pasha.fasta,1204,2,1.661,47.93,0,0.0,1.9563,685,0.5713
0284_Yasuyuki_Iwasaki.fasta,1365,2,1.465,50.55,2,100.0,1.9315,809,0.5949
0285_Nard_.fasta,1462,3,2.052,52.60,3,100.0,1.9207,1037,0.7117
0286_Ted_Berrigan.fasta,2692,1,0.371,51.81,1,100.0,1.9337,2074,0.7719
0287_Division_of_Clark.fasta,2978,1,0.336,54.33,1,100.0,1.9597,2248,0.7561
0288_Fumimaro_Konoe.fasta,3375,8,2.370,50.45,5,62.5,1.9392,2593,0.7694
0289_Tom_Daschle.fasta,3496,5,1.430,50.35,5,100.0,1.9531,2881,0.8253
0290_Calcaneus.fasta,2870,3,1.045,52.43,3,100.0,1.9624,2181,0.7613
0291_Yellow_golden_mole.fasta,2498,2,0.801,50.55,2,100.0,1.9804,1771,0.7104
0292_Seulgi_singer_.fasta,2300,1,0.435,48.46,1,100.0,1.9543,1633,0.7115
0293_Quentin_Burdick.fasta,873,0,0.000,,0,,1.9462,442,0.5092
0294_Monotheism.fasta,3866,6,1.552,53.37,5,83.3,1.9403,3068,0.7946
0295_Ilmajoki.fasta,1821,2,1.098,55.15,1,50.0,1.9535,1144,0.6300
0296_Firewall_networking_.fasta,441,0,0.000,,0,,1.9421,171,0.3922
0297_Nazirpur_Day.fasta,4429,9,2.032,54.36,8,88.9,1.9608,3407,0.7701
0298_Rommerskirchen.fasta,1659,4,2.411,52.55,3,75.0,1.9703,1157,0.6995
0299_Croatian_National_Resistance.fasta,312,0,0.000,,0,,1.9439,86,0.2801
0300_Archer_Iowa.fasta,1978,5,2.528,45.84,5,100.0,1.9150,1459,0.7395
0301_Hadi_Norouzi.fasta,1956,0,0.000,,0,,1.9686,1235,0.6330
0302_Dan_Shulman.fasta,461,0,0.000,,0,,1.9246,244,0.5351
0303_Gakuya_Horii.fasta,1695,2,1.180,50.74,2,100.0,1.9537,1025,0.6065
0304_Allen_E._Ertel.fasta,2327,0,0.000,,0,,1.9492,1648,0.7097
0305_Todor_Kavaldzhiev.fasta,2044,0,0.000,,0,,1.9662,1236,0.6062
0306_Ferri_re-la-Grande.fasta,2254,2,0.887,54.94,1,50.0,1.9558,1495,0.6647
0307_Kosrae.fasta,4362,6,1.376,51.50,6,100.0,1.9602,3504,0.8042
0308_Raccoon_dog.fasta,3875,3,0.774,53.28,3,100.0,1.9624,3035,0.7842
0309_Machine_Gun_Kelly_musician_.fasta,3924,4,1.019,45.91,4,100.0,1.9672,2973,0.7586
0310_Prime_Minister_of_Afghanistan.fasta,3704,14,3.780,47.34,11,78.6,1.9440,2962,0.8008
0311_R_dvan_Bolatl_.fasta,2135,1,0.468,46.83,0,0.0,1.9723,1486,0.6977
0312_Skinner_s_Sense_of_Snow.fasta,1647,0,0.000,,0,,1.8895,1239,0.7546
0313_Diablo_II.fasta,4484,1,0.223,43.12,1,100.0,1.9482,3648,0.8145
0314_Haucourt.fasta,3069,4,1.303,52.44,4,100.0,1.9518,2334,0.7617
0315_T_g_Heihachir_.fasta,1778,1,0.562,55.67,1,100.0,1.9423,1064,0.6001
0316_WAGR_Qa_class.fasta,710,0,0.000,,0,,1.9451,351,0.4979
0317_Whip_antenna.fasta,3052,3,0.983,51.25,3,100.0,1.9480,2347,0.7703
0318_Madame_de_La_Fayette.fasta,1292,0,0.000,,0,,1.9516,833,0.6472
0319_London_Buses_route_30.fasta,2197,1,0.455,51.19,1,100.0,1.9681,1501,0.6848
0320_Marie_milie_de_Joly_de_Choin.fasta,1879,2,1.064,52.14,2,100.0,1.9492,1284,0.6852
0321_Bad_Rodach.fasta,1680,2,1.190,53.24,2,100.0,1.9807,942,0.5624
0322_Soliloquy.fasta,1349,1,0.741,53.92,1,100.0,1.9587,859,0.6391
0323_Salem_Fulton_County_Arkansas.fasta,1057,5,4.730,51.84,5,100.0,1.9416,646,0.6141
0324_Rosamaria_Murtinho.fasta,3761,0,0.000,,0,,1.9686,2810,0.7481
0325_Equilibrium_constant.fasta,2605,3,1.152,51.80,3,100.0,1.9338,2026,0.7792
0326_Saint-Jean-sur-Reyssouze.fasta,1488,2,1.344,52.89,2,100.0,1.9378,932,0.6285
0327_Myctophum_indicum.fasta,3271,2,0.611,51.81,2,100.0,1.9583,2328,0.7128
0328_Shohreh_Aghdashloo.fasta,797,1,1.255,44.40,1,100.0,1.8938,472,0.5960
0329_Gunilla_Bergstr_m.fasta,895,0,0.000,,0,,1.9337,558,0.6270
0330_Love_Pain_the_Whole_Crazy_Thing.fasta,4622,3,0.649,54.27,3,100.0,1.9568,3723,0.8064
0331_Anna_Stadling.fasta,1491,0,0.000,,0,,1.9754,984,0.6622
0332_Anna_Wing.fasta,1394,0,0.000,,0,,1.9608,847,0.6098
0333_Martha_Erika_Alonso_Hidalgo.fasta,1523,3,1.970,46.55,3,100.0,1.9630,1009,0.6647
0334_Princess_Elizabeth_Land.fasta,4738,3,0.633,53.39,3,100.0,1.9589,3768,0.7961
0335_Banthelu.fasta,4462,11,2.465,49.80,10,90.9,1.9579,3635,0.8156
0336_Willem_Barents.fasta,3261,5,1.533,51.43,4,80.0,1.9635,2397,0.7362
0337_Moral_purchasing.fasta,1417,1,0.706,49.61,1,100.0,1.9623,938,0.6643
0338_Tim_Farron.fasta,1715,0,0.000,,0,,1.9436,1167,0.6825
0339_Personal_stylist.fasta,1030,1,0.971,46.19,1,100.0,1.9673,666,0.6498
0340_Rexhep_Meidani.fasta,3298,6,1.819,50.26,5,83.3,1.8975,2573,0.7814
0341_Castellar_de_n_Hug.fasta,3192,3,0.940,48.60,3,100.0,1.9562,2493,0.7822
0342_StoryBots_Super_Songs.fasta,701,1,1.427,50.73,1,100.0,1.9316,389,0.5589
0343_Paul_Shaffer.fasta,2573,3,1.166,49.95,2,66.7,1.9558,1800,0.7009
0344_Pitman_New_Jersey.fasta,3008,2,0.665,48.87,2,100.0,1.9577,2151,0.7163
0345_One_Little_Indian_movie_.fasta,4489,9,2.005,54.60,6,66.7,1.9305,3582,0.7988
0346_Bamba_snack_.fasta,1574,2,1.271,53.51,2,100.0,1.9505,968,0.6170
0347_Mandela_Long_Walk_to_Freedom.fasta,2227,2,0.898,50.04,2,100.0,1.9556,1525,0.6863
0348_Rhett_Link.fasta,2814,1,0.355,53.06,1,100.0,1.9711,2013,0.7166
0349_Alzano_Scrivia.fasta,1326,2,1.508,55.23,2,100.0,1.9155,978,0.7403
0350_Constitutional_economics.fasta,2876,1,0.348,52.07,1,100.0,1.9719,2149,0.7485
0351_Chantes.fasta,4936,6,1.216,48.58,6,100.0,1.9538,4125,0.8365
0352_Large_Zenith_Telescope.fasta,1132,1,0.883,51.23,1,100.0,1.9563,570,0.5058
0353_Coll_ge_de_France.fasta,311,1,3.215,57.47,1,100.0,1.9609,122,0.3987
0354_George_V_of_Hanover.fasta,4210,4,0.950,49.64,4,100.0,1.9601,3364,0.8000
0355_Tignous.fasta,2130,1,0.469,50.36,1,100.0,1.9677,1458,0.6861
0356_Mating_system.fasta,3636,3,0.825,50.74,3,100.0,1.9571,2938,0.8091
0357_Skink.fasta,4869,2,0.411,49.03,2,100.0,1.9570,3953,0.8127
0358_La_Tour_d_Auvergne.fasta,1840,3,1.630,53.32,3,100.0,1.9368,1273,0.6937
0359_Nyhem_Week.fasta,1056,1,0.947,52.03,1,100.0,1.9465,557,0.5300
0360_Hedge_fund.fasta,4454,6,1.347,52.21,5,83.3,1.9485,3516,0.7903
0361_DuckDuckGo.fasta,4224,1,0.237,50.61,1,100.0,1.9709,3287,0.7791
0362_Plectrohyla_tecunumani.fasta,563,0,0.000,,0,,1.9636,216,0.3871
0363_GMC_Acadia.fasta,4183,5,1.195,50.69,5,100.0,1.9607,3236,0.7745
0364_George_R._Klare.fasta,2452,3,1.223,50.31,2,66.7,1.9494,1747,0.7139
0365_Joep_Lange.fasta,2404,0,0.000,,0,,1.9571,1769,0.7374
0366_Rafael_Pereira_da_Silva.fasta,1267,1,0.789,50.86,0,0.0,1.9692,655,0.5190
0367_L_adan.fasta,4191,9,2.147,51.55,8,88.9,1.9534,3442,0.8223
0368_Lynching_postcard.fasta,1360,4,2.941,52.77,2,50.0,1.9716,897,0.6620
0369_Saint-Martin_Valais.fasta,3692,3,0.813,51.60,3,100.0,1.9462,2892,0.7844
0370_1920_Salle_Giandomenici_international_women_s_fencing_competition.fasta,1271,0,0.000,,0,,1.9518,803,0.6343
0371_Nirbhaya_Fearless_.fasta,4972,0,0.000,,0,,1.9597,3914,0.7880
0372_Safety_data_sheet.fasta,4081,3,0.735,51.83,3,100.0,1.9638,3096,0.7596
0373_Dvorak_technique.fasta,3476,5,1.438,54.35,5,100.0,1.9273,2713,0.7816
0374_Woody_Bay_railway_station.fasta,3247,5,1.540,51.97,2,40.0,1.9619,2506,0.7730
0375_Annam_tree_frog.fasta,4591,4,0.871,55.30,3,75.0,1.9706,3535,0.7708
0376_Harry_Carey_Jr..fasta,3583,2,0.558,41.91,1,50.0,1.9614,2775,0.7756
0377_Sonneberg_district_.fasta,2123,1,0.471,52.57,1,100.0,1.9709,1313,0.6199
0378_Queen_Paola_of_Belgium.fasta,1633,2,1.225,52.76,2,100.0,1.9669,1046,0.6425
0379_The_Fault_in_Our_Stars.fasta,3867,4,1.034,50.27,3,75.0,1.9593,3056,0.7913
0380_Dyersburg_Tennessee.fasta,818,2,2.445,52.60,2,100.0,1.9360,464,0.5707
0381_Howard_Hesseman.fasta,3522,3,0.852,47.52,2,66.7,1.9660,2679,0.7617
0382_Robert_Reed.fasta,4474,5,1.118,50.84,4,80.0,1.9585,3534,0.7908
0383_Chris_Harris_actor_.fasta,4688,2,0.427,49.15,2,100.0,1.9646,3682,0.7862
0384_Lavau-sur-Loire.fasta,1120,0,0.000,,0,,1.9388,661,0.5928
0385_Ben_Habib.fasta,3904,3,0.768,49.42,3,100.0,1.9357,3099,0.7948
0386_Gerd_Langguth.fasta,1461,0,0.000,,0,,1.9570,883,0.6065
0387_Mi_sk_Mazowiecki.fasta,2344,1,0.427,54.57,1,100.0,1.9601,1626,0.6952
0388_The_Ollie_Moon_Show.fasta,4498,5,1.112,50.79,4,80.0,1.9528,3475,0.7734
0389_Kaohsiung_County.fasta,2444,3,1.227,49.53,2,66.7,1.9621,1711,0.7015
0390_Cock_Lane.fasta,2875,1,0.348,48.63,1,100.0,1.9748,2098,0.7310
0391_L_le_d_Yeu.fasta,3690,4,1.084,54.19,3,75.0,1.9605,2758,0.7484
0392_R-dropping.fasta,1633,0,0.000,,0,,1.9594,1132,0.6953
0393_Farley_Granger.fasta,2217,0,0.000,,0,,1.9631,1594,0.7206
0394_Looksmaxxing.fasta,2974,4,1.345,51.65,4,100.0,1.9572,2180,0.7343
0395_Premier_of_Tasmania.fasta,1556,1,0.643,50.20,1,100.0,1.9158,1141,0.7357
0396_Military_campaign.fasta,648,0,0.000,,0,,1.9391,331,0.5148
0397_Max_Fincham.fasta,1154,1,0.867,43.22,1,100.0,1.9762,672,0.5849
0398_Radu_Laz_r.fasta,4990,3,0.601,51.25,3,100.0,1.9650,3996,0.8016
0399_Guem.fasta,1382,0,0.000,,0,,1.9705,742,0.5389
0400_Charleroi.fasta,4013,1,0.249,55.83,1,100.0,1.9773,3059,0.7632
0401_Saarbr_cken_constituency_.fasta,3917,4,1.021,50.07,4,100.0,1.9734,3076,0.7863
0402_Java_Embedding_Plugin.fasta,927,0,0.000,,0,,1.9602,424,0.4599
0403_Frank_Lloyd.fasta,2447,0,0.000,,0,,1.9616,1721,0.7048
0404_Dobbins_Air_Reserve_Base.fasta,3243,3,0.925,49.69,3,100.0,1.9467,2472,0.7634
0405_Policy_of_Truth.fasta,4204,2,0.476,51.93,1,50.0,1.9718,3162,0.7530
0406_Ing_nieur_des_tudes_et_de_l_exploitation_de_l_aviation_civile.fasta,4501,2,0.444,48.96,2,100.0,1.9569,3654,0.8127
0407_Roh_Hoe-chan.fasta,2111,2,0.947,50.38,0,0.0,1.9759,1396,0.6629
0408_Lee_Boo-jin.fasta,4611,5,1.084,47.38,5,100.0,1.9454,3670,0.7968
0409_Kings_of_D_isi_Muman.fasta,2760,5,1.812,49.99,4,80.0,1.9641,1951,0.7082
0410_Son_of_Mongolia.fasta,768,0,0.000,,0,,1.9728,388,0.5085
0411_Nickelodeon_Kids_Choice_Awards.fasta,1915,0,0.000,,0,,1.9615,1303,0.6822
0412_Albanian_Revolt_of_1922.fasta,2394,2,0.835,54.70,2,100.0,1.9693,1665,0.6969
0413_Yoj_han_Shinwa_Taikei.fasta,1806,1,0.554,57.04,1,100.0,1.9492,1227,0.6813
0414_Fasting.fasta,1983,1,0.504,48.56,1,100.0,1.9603,1524,0.7705
0415_Air_mass.fasta,4223,5,1.184,53.16,4,80.0,1.9600,3209,0.7608
0416_Mineko_Iwasaki.fasta,373,0,0.000,,0,,1.9398,95,0.2582
0417_James_S._C._Chao.fasta,1452,1,0.689,51.27,1,100.0,1.9617,968,0.6690
0418_Hertz.fasta,3156,5,1.584,51.05,5,100.0,1.9521,2361,0.7493
0419_Photovoltaics.fasta,1330,0,0.000,,0,,1.9858,826,0.6234
0420_Dennis_Seidenberg.fasta,3560,4,1.124,51.01,4,100.0,1.9564,2740,0.7707
0421_Tsintaosaurus.fasta,3880,2,0.515,55.40,2,100.0,1.9752,2888,0.7453
0422_Uhrichsville_Ohio.fasta,1374,1,0.728,45.88,1,100.0,1.9468,844,0.6165
0423_Seattle_Tacoma_International_Airport.fasta,327,0,0.000,,0,,1.9559,95,0.2950
0424_Masud_Yunus.fasta,2923,2,0.684,55.30,2,100.0,1.9625,2047,0.7015
0425_Suda.fasta,3093,1,0.323,58.49,1,100.0,1.9590,2271,0.7354
0426_Enrique_Saura.fasta,4234,7,1.653,51.09,4,57.1,1.9732,3503,0.8283
0427_Dick_Williams_magician_.fasta,2593,1,0.386,53.14,1,100.0,1.9681,1916,0.7403
0428_For_the_Boys.fasta,3466,6,1.731,55.38,6,100.0,1.9511,2743,0.7925
0429_Urban_contemporary_gospel.fasta,2837,1,0.352,50.96,1,100.0,1.9676,1973,0.6967
0430_ASEAN_Headquarters.fasta,2108,0,0.000,,0,,1.9448,1417,0.6738
0431_Nils_Arne_Eggen.fasta,1623,0,0.000,,0,,1.9700,1085,0.6706
0432_Heaton_Park.fasta,2614,4,1.530,52.01,4,100.0,1.9460,1928,0.7390
0433_Frisian_handball.fasta,3713,1,0.269,52.39,1,100.0,1.9630,2882,0.7772
0434_Zorro_s_Fighting_Legion.fasta,446,0,0.000,,0,,1.9529,166,0.3764
0435_SWOT_Analysis.fasta,4571,2,0.438,60.17,1,50.0,1.9547,3800,0.8322
0436_Big_Mommas_Like_Father_Like_Son.fasta,2200,0,0.000,,0,,1.9557,1500,0.6834
0437_Zodiac_Killer.fasta,2030,3,1.478,50.95,1,33.3,1.9571,1324,0.6538
0438_Volusia_County_Florida.fasta,1795,2,1.114,50.21,2,100.0,1.9515,1057,0.5905
0439_Licence_to_Kill.fasta,3484,4,1.148,49.11,3,75.0,1.9632,2503,0.7195
0440_Gone_Too_Soon.fasta,1495,3,2.007,50.32,2,66.7,1.9620,917,0.6154
0441_Hanging_Gardens_of_Babylon.fasta,3655,3,0.821,53.04,3,100.0,1.9422,2860,0.7836
0442_List_of_MeSH_codes_C11_.fasta,3639,2,0.550,49.76,1,50.0,1.9635,2825,0.7774
0443_Nelly_Wies-Weyrich.fasta,784,0,0.000,,0,,1.9644,307,0.3941
0444_Band_gap.fasta,3195,3,0.939,54.70,3,100.0,1.9443,2604,0.8163
0445_Steinfurt.fasta,1523,1,0.657,52.83,0,0.0,1.9632,957,0.6304
0446_Oscar_Zeta_Acosta.fasta,3623,1,0.276,47.28,1,100.0,1.9682,2739,0.7570
0447_Anton_Siluanov.fasta,4129,2,0.484,51.61,2,100.0,1.9537,3248,0.7876
0448_Toto_IV.fasta,4833,3,0.621,51.71,2,66.7,1.9748,3790,0.7850
0449_Street_Corner_1948_movie_.fasta,490,0,0.000,,0,,1.9466,195,0.4021
0450_Attack_aircraft.fasta,517,0,0.000,,0,,1.9421,192,0.3750
0451_Fultonham_Ohio.fasta,4666,14,3.000,50.84,13,92.9,1.9516,3958,0.8492
0452_Feichten.fasta,2079,3,1.443,51.32,2,66.7,1.9465,1314,0.6336
0453_Teruki_Miyamoto.fasta,4409,3,0.680,53.21,3,100.0,1.9458,3556,0.8074
0454_6.fasta,3151,2,0.635,47.00,2,100.0,1.9685,2329,0.7403
0455_Hyloxalus_borjai.fasta,785,1,1.274,51.76,1,100.0,1.9743,358,0.4590
0456_Kevin_Beattie.fasta,3871,7,1.808,48.15,5,71.4,1.9508,3069,0.7938
0457_Edward_Hardwicke.fasta,4351,2,0.460,50.00,1,50.0,1.9707,3365,0.7743
0458_Les_Andelys.fasta,3591,1,0.278,51.74,1,100.0,1.9686,2754,0.7680
0459_Brown_tree_snake.fasta,3655,1,0.274,52.01,1,100.0,1.9581,2857,0.7827
0460_Ballmoos.fasta,353,0,0.000,,0,,1.9800,137,0.3937
0461_Tanzimat.fasta,3544,1,0.282,51.98,1,100.0,1.9617,2616,0.7392
0462_Antony_Armstrong-Jones_1st_Earl_of_Snowdon.fasta,2294,4,1.744,51.93,3,75.0,1.9102,1634,0.7138
0463_Olive_fruit_.fasta,4579,3,0.655,53.54,2,66.7,1.9474,3730,0.8155
0464_Willkie_Farr_Gallagher.fasta,2944,2,0.679,48.22,1,50.0,1.9594,2124,0.7227
0465_Jailer_2023_Tamil_movie_.fasta,2689,2,0.744,53.72,2,100.0,1.9546,1960,0.7303
0466_Schwendau.fasta,567,1,1.764,49.02,1,100.0,1.9563,307,0.5463
0467_Deity.fasta,1111,1,0.900,55.83,0,0.0,1.9477,573,0.5181
0468_Bill_Kopp.fasta,555,0,0.000,,0,,1.9816,208,0.3782
0469_Lyman_County_South_Dakota.fasta,2995,5,1.669,49.28,4,80.0,1.9516,2141,0.7161
0470_Lesj_fors_IF.fasta,2077,3,1.444,47.17,3,100.0,1.9178,1523,0.7350
0471_Eurovision_Song_Contest_2018.fasta,4565,6,1.314,49.81,5,83.3,1.9489,3713,0.8143
0472_Stormbreaker_movie_.fasta,4602,2,0.435,54.69,2,100.0,1.9628,3536,0.7692
0473_94_number_.fasta,3240,10,3.086,50.27,10,100.0,1.9551,2461,0.7607
0474_Pete_Goegan.fasta,1863,2,1.074,54.02,2,100.0,1.9661,1250,0.6728
0475_Kokkai-gijid_-mae_Station.fasta,3257,11,3.377,55.21,8,72.7,1.9703,2237,0.6879
0476_Thirty_Three_movie_.fasta,1493,2,1.340,53.70,2,100.0,1.9666,1007,0.6767
0477_Bernese_German.fasta,2942,6,2.039,48.04,4,66.7,1.9567,2298,0.7824
0478_Bhil.fasta,3345,4,1.196,54.70,3,75.0,1.9438,2553,0.7644
0479_Ski_goggles.fasta,4835,4,0.827,52.71,3,75.0,1.9598,3837,0.7944
0480_Koji_Yoshimura.fasta,3186,7,2.197,49.61,7,100.0,1.9697,2354,0.7400
0481_Relapsing_fever.fasta,4835,7,1.448,51.22,6,85.7,1.9702,3802,0.7872
0482_Fallout_video_game_.fasta,1626,1,0.615,56.30,1,100.0,1.9727,957,0.5904
0483_Subang_Jaya.fasta,446,0,0.000,,0,,1.9279,210,0.4762
0484_Tom_Coleman_Missouri_politician_.fasta,3978,5,1.257,48.50,5,100.0,1.9636,3133,0.7886
0485_Jay_Clayton.fasta,1210,1,0.826,48.10,1,100.0,1.9374,741,0.6149
0486_Abdul_Khalek_Hassouna.fasta,2605,4,1.536,50.87,4,100.0,1.9590,1871,0.7196
0487_Tavares_Florida.fasta,2137,0,0.000,,0,,1.9591,1350,0.6332
0488_Poul_Hansen_Egede.fasta,4676,5,1.069,52.54,4,80.0,1.9435,3709,0.7940
0489_List_of_municipalities_in_Soria.fasta,1036,0,0.000,,0,,1.9386,654,0.6343
0490_Young_Cassidy.fasta,588,0,0.000,,0,,1.9450,245,0.4202
0491_Luzius_Wildhaber.fasta,3611,5,1.385,55.03,3,60.0,1.9674,2708,0.7510
0492_Marchais_Aisne.fasta,4857,4,0.824,50.44,3,75.0,1.9567,3891,0.8019
0493_Friday_the_13th_1980_movie_.fasta,735,1,1.361,47.63,1,100.0,1.9424,362,0.4959
0494_Bedtime_Story_Madonna_song_.fasta,3807,1,0.263,52.86,1,100.0,1.9646,3013,0.7925
0495_Duno.fasta,329,0,0.000,,0,,1.9353,160,0.4938
0496_Kimani_Njogu.fasta,3644,6,1.647,51.21,5,83.3,1.9493,2791,0.7670
0497_Co_s_County_New_Hampshire.fasta,807,0,0.000,,0,,1.9809,365,0.4551
0498_Cihuela.fasta,1924,1,0.520,49.97,1,100.0,1.9393,1372,0.7150
0499_Joseph_B._Raynor_Jr..fasta,4681,4,0.855,53.63,4,100.0,1.9589,3647,0.7799
