file,seq_len_bp,n_orfs,orfs_per_kb,mean_cai_percent,n_nonstandard_start_orfs,pct_nonstandard_start_orfs,seq_shannon_entropy,seq_repeat_count,seq_repeat_fraction
0172_Alfa_Romeo_135.fasta,432,0,0.000,,0,,1.9624,176,0.4122
0173_Ruth_Engelhard.fasta,685,0,0.000,,0,,1.9521,306,0.4500
0174_Tales_from_the_Punchbowl.fasta,2217,1,0.451,51.55,0,0.0,1.9695,1497,0.6768
0175_Prime.fasta,4117,5,1.214,50.01,4,80.0,1.9731,3068,0.7461
0176_Attack_Force_Z.fasta,327,0,0.000,,0,,1.9563,107,0.3323
0177_Poland_in_the_Eurovision_Song_Contest.fasta,2559,3,1.172,49.65,3,100.0,1.9789,1833,0.7177
0178_Mitsuru_Nagata.fasta,3819,1,0.262,49.74,1,100.0,1.9647,2936,0.7698
0179_Close-mid_central_rounded_vowel.fasta,4132,5,1.210,54.28,5,100.0,1.9589,3170,0.7681
0180_Rouess_-Fontaine.fasta,3332,4,1.200,52.16,4,100.0,1.9657,2495,0.7499
0181_Gordian_I.fasta,1109,0,0.000,,0,,1.9816,572,0.5181
0182_Tussilago.fasta,2178,2,0.918,49.18,2,100.0,1.9552,1542,0.7096
0183_South_Goa_district.fasta,1391,0,0.000,,0,,1.9451,992,0.7157
0184_Gerda_Weissmann_Klein.fasta,2006,1,0.499,47.57,1,100.0,1.9699,1354,0.6767
0185_Dieter_Burdenski.fasta,2520,4,1.587,48.09,3,75.0,1.9689,1713,0.6811
0186_Brody_Stevens.fasta,3603,2,0.555,50.04,2,100.0,1.9540,2797,0.7774
0187_Kenju_burai-ch_Nukiuchino_Ryu.fasta,979,0,0.000,,0,,1.9498,544,0.5585
0188_Allen_Media_Group.fasta,3084,5,1.621,53.94,5,100.0,1.9491,2306,0.7489
0189_NHS_Wales.fasta,679,1,1.473,55.59,1,100.0,1.9366,339,0.5030
0190_Scissor_Sisters.fasta,846,1,1.182,48.06,1,100.0,1.9161,544,0.6468
0191_Saltash.fasta,921,0,0.000,,0,,1.9696,401,0.4378
0192_Milton-Freewater_Oregon.fasta,3452,1,0.290,49.50,1,100.0,1.9522,2707,0.7853
0193_Rechtmehring.fasta,759,0,0.000,,0,,1.9702,367,0.4867
0194_TT_Games.fasta,4873,6,1.231,51.24,6,100.0,1.9637,3858,0.7925
0195_Soulce.fasta,2595,2,0.771,54.59,2,100.0,1.9791,1854,0.7158
0196_Abortion_in_Azerbaijan.fasta,4501,2,0.444,55.54,2,100.0,1.9442,3560,0.7918
0197_J._Y._Pillay.fasta,3326,3,0.902,55.63,3,100.0,1.9363,2603,0.7838
0198_B_rschwil.fasta,4009,1,0.249,44.54,0,0.0,1.9707,3096,0.7732
0199_Athletics_at_the_1896_Summer_Olympics_Men_s_100_metres.fasta,3943,5,1.268,50.37,3,60.0,1.9693,3113,0.7905
0200_Anne_Heche.fasta,1578,3,1.901,54.61,3,100.0,1.9717,895,0.5690
0201_Carlos_Barisio.fasta,1841,0,0.000,,0,,1.9698,1244,0.6776
0202_Carlo_Rolandi.fasta,1109,0,0.000,,0,,1.9635,635,0.5752
0203_Legislative_Assembly_of_Manitoba.fasta,1515,2,1.320,50.52,2,100.0,1.9583,1089,0.7212
0204__lex_Casademunt.fasta,4542,1,0.220,60.86,1,100.0,1.9719,3492,0.7697
0205_Solita_Salgado.fasta,4580,8,1.747,53.42,6,75.0,1.9544,3537,0.7731
0206_Peter_Mogila.fasta,4008,6,1.497,51.25,6,100.0,1.9513,3116,0.7784
0207_Ricardo_Carvalho.fasta,4256,1,0.235,61.29,1,100.0,1.9781,3256,0.7659
0208_Orkney_and_Shetland_UK_Parliament_constituency_.fasta,1052,1,0.951,55.82,0,0.0,1.9720,613,0.5855
0209_Lamb_of_God.fasta,2635,6,2.277,49.75,5,83.3,1.9422,1949,0.7411
0210_Wilf_Cude.fasta,2368,0,0.000,,0,,1.9702,1552,0.6568
0211_List_of_tallest_buildings_in_Macon_Georgia.fasta,850,1,1.176,51.22,1,100.0,1.9626,437,0.5172
0212_Cape_Town_Stadium.fasta,949,0,0.000,,0,,1.9536,546,0.5784
0213_Belubula_River.fasta,1513,2,1.322,48.45,1,50.0,1.9707,915,0.6068
0214_Sergei_Eduardovich_Prikhodko.fasta,2099,1,0.476,49.93,0,0.0,1.9585,1462,0.6982
0215_Wheeler_Winston_Dixon.fasta,533,0,0.000,,0,,1.9689,247,0.4678
0216_Jos_Gon_alves_Heleno.fasta,3179,1,0.315,50.82,1,100.0,1.9706,2358,0.7429
0217_Ostr_da.fasta,3400,5,1.471,49.95,5,100.0,1.9589,2446,0.7205
0218_Mark_Brzezinski.fasta,672,0,0.000,,0,,1.9183,361,0.5412
0219_Elomar.fasta,2903,0,0.000,,0,,1.9601,2095,0.7229
0220_Greatest_Hits.fasta,951,0,0.000,,0,,1.9496,546,0.5772
0221_Kyrgyz_people.fasta,1950,1,0.513,53.28,1,100.0,1.9823,1182,0.6077
0222_Gonadotropin.fasta,1354,0,0.000,,0,,1.9621,920,0.6820
0223_Tim_Lopes.fasta,344,0,0.000,,0,,1.9210,163,0.4808
0224_Zuidhorn.fasta,4569,6,1.313,51.19,6,100.0,1.9679,3642,0.7980
0225_Betsy_Palmer.fasta,2747,2,0.728,53.37,1,50.0,1.9599,1922,0.7009
0226_New_Orleans.fasta,2873,6,2.088,49.37,5,83.3,1.9337,2130,0.7427
0227_67_number_.fasta,2273,0,0.000,,0,,1.9653,1553,0.6847
0228_Lukas_Haas.fasta,1543,1,0.648,45.88,0,0.0,1.9677,967,0.6287
0229_Vlad_the_Impaler.fasta,4886,4,0.819,51.70,4,100.0,1.9678,3755,0.7693
0230_Shija_Laioibi.fasta,4013,8,1.994,54.14,4,50.0,1.9668,3005,0.7498
0231_Sarcoma.fasta,1540,1,0.649,52.19,1,100.0,1.9263,1097,0.7147
0232_Altenthann.fasta,3592,3,0.835,49.36,3,100.0,1.9386,2769,0.7720
0233_Larry_Willoughby.fasta,4675,3,0.642,53.34,1,33.3,1.9678,3678,0.7876
0234_Victoria_Beckham.fasta,3081,0,0.000,,0,,1.9586,2302,0.7484
0235_Niederwil_Solothurn.fasta,1510,0,0.000,,0,,1.9679,979,0.6505
0236_2024_25_UEFA_Europa_League.fasta,4571,5,1.094,51.15,4,80.0,1.9654,3582,0.7845
0237_Barbara_Rush.fasta,4041,2,0.495,46.96,1,50.0,1.9555,3128,0.7750
0238_Esox.fasta,2778,1,0.360,49.77,1,100.0,1.9527,2027,0.7310
0239_Pamela_Reed.fasta,1334,2,1.499,50.37,2,100.0,1.9409,837,0.6298
0240_Gemma_Hadley.fasta,4214,0,0.000,,0,,1.9697,3208,0.7622
0241_Daria.fasta,4121,4,0.971,49.96,4,100.0,1.9580,3145,0.7641
0242_Huaso.fasta,1698,1,0.589,52.62,1,100.0,1.9528,1145,0.6763
0243_National_Constituent_Assembly_France_.fasta,3843,2,0.520,50.12,2,100.0,1.9554,3082,0.8030
0244_Youth_Shawn_Mendes_song_.fasta,4248,7,1.648,50.38,5,71.4,1.9583,3471,0.8181
0245_Physical_abuse.fasta,1648,1,0.607,61.90,1,100.0,1.8941,1153,0.7018
0246_Lois_Hart.fasta,1135,1,0.881,53.47,1,100.0,1.9476,580,0.5133
